eval,score_current,best_so_far
0,110.44380979141786,110.44380979141786
1,89.73475311587815,110.44380979141786
2,0.0,110.44380979141786
3,6.850592752382734,110.44380979141786
4,2.5034816658102343,110.44380979141786
5,7.4966942810504085,110.44380979141786
6,6.631075118222927,110.44380979141786
7,11.730947784116136,110.44380979141786
8,0.0,110.44380979141786
9,88.47560374197968,110.44380979141786
10,44.34526868348753,110.44380979141786
11,12.424829035993758,110.44380979141786
12,68.46113596738255,110.44380979141786
13,292.6612961148855,292.6612961148855
14,0.7979135159599495,292.6612961148855
15,8.47622265027052,292.6612961148855
16,0.0,292.6612961148855
17,97.72640027909411,292.6612961148855
18,0.0,292.6612961148855
19,101.10397664685236,292.6612961148855
20,68.18614265472974,292.6612961148855
21,12.261352794419272,292.6612961148855
22,43.85634196469219,292.6612961148855
23,0.0,292.6612961148855
24,71.46984507146539,292.6612961148855
25,13.729950465742544,292.6612961148855
26,91.325159736207,292.6612961148855
27,44.29275723572695,292.6612961148855
28,53.899989620294136,292.6612961148855
29,0.0,292.6612961148855
30,0.0,292.6612961148855
31,0.0,292.6612961148855
32,20.895098086186607,292.6612961148855
33,16.46158379049179,292.6612961148855
34,0.0,292.6612961148855
35,44.29275723572695,292.6612961148855
36,10.789731242077732,292.6612961148855
37,11.594418871437135,292.6612961148855
38,10.273206617852217,292.6612961148855
39,7.9460173786457196,292.6612961148855
40,78.27387137656012,292.6612961148855
41,66.42486716960404,292.6612961148855
42,11.206123224690336,292.6612961148855
43,13.50409238378988,292.6612961148855
44,45.26357850265674,292.6612961148855
45,22.826450290070458,292.6612961148855
46,83.40782750282023,292.6612961148855
47,0.0,292.6612961148855
48,44.26140572163043,292.6612961148855
49,43.876878593517304,292.6612961148855
50,55.6976744957115,292.6612961148855
51,11.838801792006313,292.6612961148855
52,94.27168582099264,292.6612961148855
53,79.51856763594574,292.6612961148855
54,0.0,292.6612961148855
55,44.934055201390066,292.6612961148855
56,6.644521032736829,292.6612961148855
57,16.307335569775347,292.6612961148855
58,86.97603576650268,292.6612961148855
59,0.0,292.6612961148855
60,0.0,292.6612961148855
61,97.72640027909411,292.6612961148855
62,10.341478199600612,292.6612961148855
63,1.6415459331728253,292.6612961148855
64,13.894874488211368,292.6612961148855
65,11.469414629761404,292.6612961148855
66,0.0,292.6612961148855
67,4.725586019567611,292.6612961148855
68,44.28360647882099,292.6612961148855
69,13.127866771768037,292.6612961148855
70,10.727387626457363,292.6612961148855
71,44.53066379049219,292.6612961148855
72,0.0,292.6612961148855
73,10.030667539131064,292.6612961148855
74,0.0,292.6612961148855
75,0.0,292.6612961148855
76,0.0,292.6612961148855
77,43.85634196469219,292.6612961148855
78,0.0,292.6612961148855
79,115.62235111858732,292.6612961148855
80,0.0,292.6612961148855
81,13.675755567746103,292.6612961148855
82,5.14905141935841,292.6612961148855
83,59.09319611269964,292.6612961148855
84,11.305283934225082,292.6612961148855
85,78.27387137656012,292.6612961148855
86,0.0,292.6612961148855
87,13.836683566662174,292.6612961148855
88,44.48280791160869,292.6612961148855
89,73.91558457755863,292.6612961148855
90,18.95377581483885,292.6612961148855
91,16.8766043096674,292.6612961148855
92,113.50797416257375,292.6612961148855
93,66.91418623913374,292.6612961148855
94,80.01948583436953,292.6612961148855
95,89.23602863187548,292.6612961148855
96,0.0,292.6612961148855
97,10.931157531146791,292.6612961148855
98,0.3304874535587094,292.6612961148855
99,84.72038935681637,292.6612961148855
100,11.206123224690336,292.6612961148855
101,12.148056555053545,292.6612961148855
102,1.6469668886266746,292.6612961148855
103,0.0,292.6612961148855
104,18.297179481485493,292.6612961148855
105,43.399439551757126,292.6612961148855
106,0.0,292.6612961148855
107,0.0,292.6612961148855
108,82.98451461271083,292.6612961148855
109,12.964011993149255,292.6612961148855
110,0.0,292.6612961148855
111,13.549369530668823,292.6612961148855
112,33.83473230878027,292.6612961148855
113,3.2286009209863673,292.6612961148855
114,14.545753832121182,292.6612961148855
115,0.0,292.6612961148855
116,70.36159608526245,292.6612961148855
117,17.719470337232025,292.6612961148855
118,70.24879471009632,292.6612961148855
119,14.075699428587962,292.6612961148855
120,0.0,292.6612961148855
121,1.6744142876632107,292.6612961148855
122,66.68038729158441,292.6612961148855
123,0.0,292.6612961148855
124,14.33079694779154,292.6612961148855
125,45.69564935734576,292.6612961148855
126,0.0,292.6612961148855
127,70.62897968173318,292.6612961148855
128,62.37465229183613,292.6612961148855
129,0.0,292.6612961148855
130,0.0,292.6612961148855
131,105.37591870204024,292.6612961148855
132,74.59989731279657,292.6612961148855
133,130.24213782563376,292.6612961148855
134,10.931157531146791,292.6612961148855
135,13.16930280636433,292.6612961148855
136,43.99878681795928,292.6612961148855
137,7.299280466642951,292.6612961148855
138,12.374331387370853,292.6612961148855
139,22.998549220189048,292.6612961148855
140,29.439966778518237,292.6612961148855
141,82.97512848481205,292.6612961148855
142,88.40819400764408,292.6612961148855
143,70.64786769013953,292.6612961148855
144,2.6006427900624622,292.6612961148855
145,1.6105351016957523,292.6612961148855
146,8.71460111287019,292.6612961148855
147,69.53663829316712,292.6612961148855
148,91.325159736207,292.6612961148855
149,73.93500968293966,292.6612961148855
150,44.49674613872614,292.6612961148855
151,0.0,292.6612961148855
152,120.16411152359599,292.6612961148855
153,89.38995424216348,292.6612961148855
154,43.35342863398739,292.6612961148855
155,0.0,292.6612961148855
156,5.207602296726286,292.6612961148855
157,17.715145427891063,292.6612961148855
158,37.41844213669866,292.6612961148855
159,25.071057257275992,292.6612961148855
160,63.71603085893901,292.6612961148855
161,0.0,292.6612961148855
162,0.0,292.6612961148855
163,22.62314404991004,292.6612961148855
164,1.8537841999766969,292.6612961148855
165,43.814531996846746,292.6612961148855
166,0.0,292.6612961148855
167,0.0,292.6612961148855
168,64.1660516551825,292.6612961148855
169,43.54875981903356,292.6612961148855
170,6.931071073973774,292.6612961148855
171,49.98434276264953,292.6612961148855
172,91.84263461600735,292.6612961148855
173,0.0,292.6612961148855
174,13.669463976808812,292.6612961148855
175,0.0,292.6612961148855
176,44.167294368912714,292.6612961148855
177,21.326523922203297,292.6612961148855
178,6.530908207431622,292.6612961148855
179,0.0,292.6612961148855
180,22.081459664924846,292.6612961148855
181,66.9504306152168,292.6612961148855
182,110.09360916719841,292.6612961148855
183,0.0,292.6612961148855
184,1.804894113231113,292.6612961148855
185,94.61106327861215,292.6612961148855
186,103.48937260787312,292.6612961148855
187,88.79361107301297,292.6612961148855
188,96.88426452730646,292.6612961148855
189,0.0,292.6612961148855
190,17.749345607764585,292.6612961148855
191,0.0,292.6612961148855
192,67.61048268875429,292.6612961148855
193,14.506240170778565,292.6612961148855
194,16.208971446430212,292.6612961148855
195,0.0,292.6612961148855
196,88.56810201623115,292.6612961148855
197,82.960721781463,292.6612961148855
198,0.0,292.6612961148855
199,0.31816624836221824,292.6612961148855
200,51.243039682022435,292.6612961148855
201,2.6975213153003406,292.6612961148855
202,12.277622179971072,292.6612961148855
203,44.934055201390066,292.6612961148855
204,26.62024923491283,292.6612961148855
205,76.53500450080355,292.6612961148855
206,11.206123224690336,292.6612961148855
207,103.33768611229704,292.6612961148855
208,78.65881628815853,292.6612961148855
209,45.57800205621551,292.6612961148855
210,65.24469672621754,292.6612961148855
211,0.0,292.6612961148855
212,82.57776700744097,292.6612961148855
213,5.39155840308444,292.6612961148855
214,0.0,292.6612961148855
215,0.0,292.6612961148855
216,59.09319611269964,292.6612961148855
217,88.31096489104915,292.6612961148855
218,0.0,292.6612961148855
219,44.30238633097714,292.6612961148855
220,0.0,292.6612961148855
221,44.20459770052399,292.6612961148855
222,0.0,292.6612961148855
223,0.0,292.6612961148855
224,10.848241959669425,292.6612961148855
225,10.482274581664088,292.6612961148855
226,0.0,292.6612961148855
227,0.0,292.6612961148855
228,20.221368200237634,292.6612961148855
229,0.0,292.6612961148855
230,44.934055201390066,292.6612961148855
231,44.48280791160869,292.6612961148855
232,89.58517714449845,292.6612961148855
233,10.931157531146791,292.6612961148855
234,43.594458643829626,292.6612961148855
235,87.3189398637595,292.6612961148855
236,78.8550461540199,292.6612961148855
237,36.87591231483693,292.6612961148855
238,2.675373086007091,292.6612961148855
239,0.0,292.6612961148855
240,10.980234731309658,292.6612961148855
241,2.103890992551083,292.6612961148855
242,3.57727870552767,292.6612961148855
243,65.47826377265172,292.6612961148855
244,0.0,292.6612961148855
245,39.39089551654371,292.6612961148855
246,80.26550446245686,292.6612961148855
247,0.0,292.6612961148855
248,70.96716956433343,292.6612961148855
249,20.895098086186607,292.6612961148855
250,89.39199326111734,292.6612961148855
251,78.27387137656012,292.6612961148855
252,106.03216099250207,292.6612961148855
253,15.002215697530314,292.6612961148855
254,92.77509934087291,292.6612961148855
255,44.24557978696037,292.6612961148855
256,64.1660516551825,292.6612961148855
257,97.61651660358831,292.6612961148855
258,2.6975213153003406,292.6612961148855
259,0.0,292.6612961148855
260,37.554565009579385,292.6612961148855
261,58.03618290413416,292.6612961148855
262,112.06148218144483,292.6612961148855
263,68.93900285829973,292.6612961148855
264,59.17392426353287,292.6612961148855
265,0.2137279791995319,292.6612961148855
266,11.57111411461244,292.6612961148855
267,43.743566646238556,292.6612961148855
268,0.0,292.6612961148855
269,14.506240170778565,292.6612961148855
270,43.88951928073121,292.6612961148855
271,36.41550442135509,292.6612961148855
272,0.0,292.6612961148855
273,0.0,292.6612961148855
274,2.1382560794117214,292.6612961148855
275,0.0,292.6612961148855
276,43.814531996846746,292.6612961148855
277,84.3334780848629,292.6612961148855
278,10.780035464897262,292.6612961148855
279,101.62822061684733,292.6612961148855
280,44.29275723572695,292.6612961148855
281,83.52667691251276,292.6612961148855
282,48.12039797774489,292.6612961148855
283,18.157174203723834,292.6612961148855
284,115.62235111858732,292.6612961148855
285,10.931157531146791,292.6612961148855
286,20.258058795057973,292.6612961148855
287,0.0,292.6612961148855
288,44.96881524162077,292.6612961148855
289,0.0,292.6612961148855
290,43.91394564859221,292.6612961148855
291,46.20134430044067,292.6612961148855
292,0.0,292.6612961148855
293,73.37055850915964,292.6612961148855
294,0.0,292.6612961148855
295,44.45667561709256,292.6612961148855
296,45.90373938827189,292.6612961148855
297,73.84102582014386,292.6612961148855
298,0.0,292.6612961148855
299,91.4599577064928,292.6612961148855
300,65.06008639642137,292.6612961148855
301,83.4705020770404,292.6612961148855
302,0.0,292.6612961148855
303,0.0,292.6612961148855
304,65.19813515867851,292.6612961148855
305,8.71460111287019,292.6612961148855
306,0.0,292.6612961148855
307,108.95900132881088,292.6612961148855
308,43.72798580033825,292.6612961148855
309,45.94118198337948,292.6612961148855
310,0.0,292.6612961148855
311,43.95102618337998,292.6612961148855
312,73.95992924644455,292.6612961148855
313,0.0,292.6612961148855
314,63.47416162551317,292.6612961148855
315,45.62674313905991,292.6612961148855
316,17.858624124270634,292.6612961148855
317,80.27932377775295,292.6612961148855
318,74.79503309274384,292.6612961148855
319,33.079997364351094,292.6612961148855
320,122.76262157739589,292.6612961148855
321,0.0,292.6612961148855
322,69.18870373583175,292.6612961148855
323,0.0,292.6612961148855
324,4.195760036805844,292.6612961148855
325,0.0,292.6612961148855
326,80.51976360552472,292.6612961148855
327,80.51976360552472,292.6612961148855
328,11.159971571313644,292.6612961148855
329,24.218628834149218,292.6612961148855
330,91.04181598800464,292.6612961148855
331,14.49068845260353,292.6612961148855
332,44.30704624417308,292.6612961148855
